Time,bit-x,bitfinex,bitstamp,btce,coinbase,itbit,lakebtc,mtgox,okcoin,others
2013-04-22 00:00:00 UTC,,7053.39711668,5568.82364193,6678.36081545,,,,59118.3483972401,,814.42597976
2013-04-23 00:00:00 UTC,,11566.57797156,13391.87055752,14238.01878353,,,,116098.20804613,,1480.95027285
2013-04-24 00:00:00 UTC,,25884.62525415,21232.85034477,26431.22162272,,,,225857.24378354,,2728.26407264
2013-04-25 00:00:00 UTC,,21589.72100785,15137.15285277,19250.08110572,,,,187632.73663185,,1385.7422522099998
2013-04-26 00:00:00 UTC,,13279.17946705,10688.92108773,16519.70930202,,,,128988.66663839,,1121.18253719
2013-04-27 00:00:00 UTC,,7773.99732283,6686.07508764,8658.92901907,,,,59870.7915156101,,541.05433732
2013-04-28 00:00:00 UTC,,7222.09008288,5136.5255006,5094.63246937,,,,27503.11180922,,325.43135731
2013-04-29 00:00:00 UTC,,9491.69208741,10485.46213504,10699.28824305,,,,70186.3332034002,,796.32299944
2013-04-30 00:00:00 UTC,,10916.45401098,8465.29718136,9230.58629843,,,,65198.5771434301,,1086.30589387
2013-05-01 00:00:00 UTC,,23869.06259774,21104.90212995,21636.13773519,,,,179988.85327973,,2343.8762297999997
2013-05-02 00:00:00 UTC,,29911.74203579,21725.133598,31621.0784804301,,,,234129.1718145,,2233.08725608
2013-05-03 00:00:00 UTC,,32551.05152931,26863.56444609,32862.41959801,,,,246411.17412536,,2473.2327547200002
2013-05-04 00:00:00 UTC,,15470.54031853,15910.12807666,22072.31636268,,,,132582.58910922,,1283.01233766
2013-05-05 00:00:00 UTC,,13363.78070844,9033.94177783,9120.95470709999,,,,84177.8425556101,,1126.8244093
2013-05-06 00:00:00 UTC,,12263.0308212,17251.55561438,16328.52024597,,,,150048.99059031,,1718.90771451
2013-05-07 00:00:00 UTC,,15053.73044354,14941.55263514,16942.034406,,,,139626.724859821,,1028.0468879
2013-05-08 00:00:00 UTC,,8804.37823946,8261.64064249,7373.36534357,,,,61680.3247035202,,875.4043611899999
2013-05-09 00:00:00 UTC,,3991.56786689,6725.70842693,3973.81691792,,,,26894.45820435,,553.7910404300001
2013-05-10 00:00:00 UTC,,7579.66383688,10480.13511879,8414.45930109,,,,77443.6726805202,,964.01212876
2013-05-11 00:00:00 UTC,,3841.93708681,4692.10496687,2984.37410676,,,,28023.47400863,,253.48516095000002
2013-05-12 00:00:00 UTC,,2745.73340774,3365.63252215,3016.27045438,,,,20575.12569271,,264.70079749
2013-05-13 00:00:00 UTC,,2590.84616001,3339.84923774,4144.77907954999,,,,25610.03780882,,549.83383491
2013-05-14 00:00:00 UTC,,9787.13803174,12120.00783896,7520.60334514,,,,87726.09301206,,1083.30131544
2013-05-15 00:00:00 UTC,,9324.26007941,10914.51829481,12636.05959139,,,,117898.23044997,,1918.95353825
2013-05-16 00:00:00 UTC,,4796.42398125,7515.76166257,4327.28457429,,,,45071.68219683,,1527.02484926
2013-05-17 00:00:00 UTC,,5107.8367596,9721.36089521,8260.40649164,,,,79063.3251488202,,1012.7717092
2013-05-18 00:00:00 UTC,,2168.44858122,3906.23090184,2934.51736836,,,,22615.71905932,,636.4529892699999
2013-05-19 00:00:00 UTC,,1327.45239545,4800.36143192,3179.10842528,,,,20478.43216293,,539.56751074
2013-05-20 00:00:00 UTC,,881.05785762,4541.30988594,2508.41507981,,,,17238.1178932,,668.09196063
2013-05-21 00:00:00 UTC,,1897.54839262,3656.2547232,3903.69290304,,,,13313.67351119,,721.08777288
2013-05-22 00:00:00 UTC,,2360.34984014,7275.60471178,4090.80365656,,,,18198.48063197,,986.7255011000001
2013-05-23 00:00:00 UTC,,4024.65733015,10212.79546118,2957.41965171,,,,22045.49819667,,1057.38579996
2013-05-24 00:00:00 UTC,,7965.53671446,13193.58203434,6861.76441821999,,,,48649.9879005502,,1397.82638927
2013-05-25 00:00:00 UTC,,2715.80561304,5146.70519875,3117.0955378,,,,16816.57733446,,556.74205909
2013-05-26 00:00:00 UTC,,2883.23013613,3916.06467515,2877.42357342,,,,23327.21417077,,403.62097215999995
2013-05-27 00:00:00 UTC,,3535.31536517,7413.81180566,4758.69488441,,,,46796.58527778,,1195.4165128299999
2013-05-28 00:00:00 UTC,,2584.01718863,4198.18030953,2532.80044201,,,,22748.69803309,,821.8172052799999
